date_time,number_of_rentals
2021-04-01,63474
2021-04-02,79583
2021-04-03,1037
2021-04-04,26484
2021-04-05,89789
2021-04-06,78419
2021-04-07,83798
2021-04-08,86541
2021-04-09,89789
2021-04-10,28236
2021-04-11,33144
2021-04-12,35656
2021-04-13,26421
2021-04-14,86541
2021-04-15,89789
2021-04-16,68498
2021-04-17,35975
2021-04-18,29589
2021-04-19,68414
2021-04-20,58133
2021-04-21,102333
2021-04-22,79878
2021-04-23,25902
2021-04-24,81515
2021-04-25,37851
2021-04-26,76439
2021-04-27,89449
2021-04-28,35975
2021-04-29,77056
2021-04-30,35656
2021-05-01,8374
2021-05-02,78200
2021-05-03,36549
2021-05-04,55556
2021-05-05,100031
2021-05-06,34058
2021-05-07,100031
2021-05-08,39548
2021-05-09,72430
2021-05-10,56012
2021-05-11,46457
2021-05-12,85776
2021-05-13,88432
2021-05-14,76969
2021-05-15,38086
2021-05-16,30605
2021-05-17,85728
2021-05-18,70213
2021-05-19,98394
2021-05-20,39277
2021-05-21,79958
2021-05-22,72883
2021-05-23,88508
2021-05-24,22994
2021-05-25,35975
2021-05-26,100031
2021-05-27,80357
2021-05-28,41128
2021-05-29,72066
2021-05-30,25557
2021-05-31,79958
2021-06-01,85533
2021-06-02,42039
2021-06-03,55815
2021-06-04,35159
2021-06-05,35918
2021-06-06,83765
2021-06-07,46516
2021-06-08,60371
2021-06-09,102333
2021-06-10,35975
2021-06-11,6391
2021-06-12,79269
2021-06-13,88432
2021-06-14,88432
2021-06-15,38086
2021-06-16,63335
2021-06-17,36476
2021-06-18,79958
2021-06-19,47478
2021-06-20,103582
2021-06-21,83506
2021-06-22,35975
2021-06-23,60371
2021-06-24,55815
2021-06-25,76110
2021-06-26,81089
2021-06-27,55943
2021-06-28,89287
2021-06-29,55815
2021-06-30,56012
