date_time,number_of_rentals
2021-04-01,34593
2021-04-02,79583
2021-04-03,1037
2021-04-04,26484
2021-04-05,74856
2021-04-06,32547
2021-04-07,55422
2021-04-08,55422
2021-04-09,74856
2021-04-10,23499
2021-04-11,63995
2021-04-12,65932
2021-04-13,26421
2021-04-14,66405
2021-04-15,28885
2021-04-16,78200
2021-04-17,25557
2021-04-18,82600
2021-04-19,36858
2021-04-20,32989
2021-04-21,79158
2021-04-22,37569
2021-04-23,63474
2021-04-24,74327
2021-04-25,78504
2021-04-26,76439
2021-04-27,89449
2021-04-28,35975
2021-04-29,26817
2021-04-30,22471
2021-05-01,35656
2021-05-02,100031
2021-05-03,82600
2021-05-04,8374
2021-05-05,25557
2021-05-06,105172
2021-05-07,100031
2021-05-08,72883
2021-05-09,86541
2021-05-10,29375
2021-05-11,105033
2021-05-12,34593
2021-05-13,89789
2021-05-14,63995
2021-05-15,19809
2021-05-16,30605
2021-05-17,30605
2021-05-18,77056
2021-05-19,68414
2021-05-20,30605
2021-05-21,26911
2021-05-22,93547
2021-05-23,92531
2021-05-24,40026
2021-05-25,35975
2021-05-26,58133
2021-05-27,35668
2021-05-28,80357
2021-05-29,71883
2021-05-30,56012
2021-05-31,90396
2021-06-01,85533
2021-06-02,93547
2021-06-03,55815
2021-06-04,88219
2021-06-05,42038
2021-06-06,73814
2021-06-07,39214
2021-06-08,27757
2021-06-09,74960
2021-06-10,101256
2021-06-11,26911
2021-06-12,73318
2021-06-13,75399
2021-06-14,75399
2021-06-15,89317
2021-06-16,24560
2021-06-17,88257
2021-06-18,64549
2021-06-19,83654
2021-06-20,36858
2021-06-21,83496
2021-06-22,35975
2021-06-23,60371
2021-06-24,60371
2021-06-25,76110
2021-06-26,81089
2021-06-27,56012
2021-06-28,19809
2021-06-29,67346
2021-06-30,67346
