date_time,number_of_rentals
2021-04-01,63474
2021-04-02,79583
2021-04-03,1037
2021-04-04,26484
2021-04-05,75021
2021-04-06,77149
2021-04-07,68414
2021-04-08,68414
2021-04-09,73647
2021-04-10,28236
2021-04-11,60925
2021-04-12,22471
2021-04-13,35975
2021-04-14,68414
2021-04-15,89789
2021-04-16,35975
2021-04-17,28467
2021-04-18,29589
2021-04-19,20400
2021-04-20,51068
2021-04-21,63995
2021-04-22,79878
2021-04-23,79583
2021-04-24,79878
2021-04-25,28351
2021-04-26,60566
2021-04-27,56012
2021-04-28,68498
2021-04-29,62522
2021-04-30,22471
2021-05-01,8374
2021-05-02,78200
2021-05-03,36549
2021-05-04,35656
2021-05-05,78200
2021-05-06,28236
2021-05-07,25557
2021-05-08,32989
2021-05-09,89183
2021-05-10,17444
2021-05-11,81803
2021-05-12,85776
2021-05-13,75399
2021-05-14,66392
2021-05-15,64549
2021-05-16,8374
2021-05-17,64549
2021-05-18,74960
2021-05-19,81540
2021-05-20,39277
2021-05-21,64549
2021-05-22,92531
2021-05-23,83736
2021-05-24,33923
2021-05-25,65932
2021-05-26,88219
2021-05-27,35668
2021-05-28,80357
2021-05-29,29925
2021-05-30,101256
2021-05-31,55815
2021-06-01,36945
2021-06-02,93547
2021-06-03,19629
2021-06-04,88219
2021-06-05,42038
2021-06-06,97656
2021-06-07,44118
2021-06-08,100031
2021-06-09,75399
2021-06-10,70053
2021-06-11,19629
2021-06-12,79269
2021-06-13,75399
2021-06-14,75399
2021-06-15,89287
2021-06-16,63335
2021-06-17,32839
2021-06-18,79958
2021-06-19,103999
2021-06-20,108320
2021-06-21,81540
2021-06-22,63032
2021-06-23,63032
2021-06-24,79958
2021-06-25,77056
2021-06-26,79234
2021-06-27,109124
2021-06-28,79234
2021-06-29,79234
2021-06-30,79234
